Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 2,Run 2,Run 2,Run 2,Run 2,Run 2,Run 2,Run 2,Run 2,Run 3,Run 3,Run 3,Run 3,Run 3,Run 3,Run 3,Run 3,Run 3
Time (s),Force (N),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²),Acceleration 1 Resultant,Angular Velocity - y (rad/s),Angular Velocity - z (rad/s),Time (s),Force (N),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²),Acceleration 2 resultant ,Angular Velocity - y (rad/s),Angular Velocity - z (rad/s),Time (s),Force (N),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²),Accelertation 3 Resultant,Angular Velocity - y (rad/s),Angular Velocity - z (rad/s)
2.4,0.12,-0.5,4.4,-0.2,4.4,-5.2,-0.5,0.5,2.4,0.17,-17.4,6.6,-0.1,18.6,9,-1.4,0,2.4,0.2,-25.1,-1.8,2.2,25.3,15.6,2.5,-1.8
2.45,0.26,-51.5,6.8,2.5,52,42.4,4.1,1.5,2.45,0.18,-20.1,0.9,-0.1,20.1,10.5,1.3,-0.3,2.45,0.16,-19.1,-3.7,0.9,19.5,9.8,-1.6,0.3
2.5,0.15,-12.6,3.4,11.9,17.7,8.1,-6.5,-1.8,2.5,0.16,-15.5,4.3,0,16.1,6.5,-1.1,0.1,2.5,0.17,-16.2,7.1,1.5,17.8,8.1,0.5,0.1
2.55,0.19,-20.7,-7.1,-3.2,22.1,12.5,4.8,-0.4,2.55,0.16,-14.5,0.7,-0.4,14.6,5,0.5,0,2.55,0.16,-17.4,1.3,-2.2,17.6,7.9,-0.2,-0.6
2.6,0.17,-19.4,3.2,1.3,19.7,10.1,-3.2,0.4,2.6,0.12,-6.1,1.2,0,6.2,-3.4,-1.2,0,2.6,0.16,-12.5,-0.5,0.8,12.5,2.8,0.1,0
2.65,0.17,-18.5,4.1,0.4,18.9,9.3,1.7,-0.8,2.65,0.11,-0.8,2.3,0.1,2.4,-7.2,0.2,-0.3,2.65,0.15,-12.1,2.1,-1,12.3,2.6,0,0
2.7,0.16,-14,2.9,-0.1,14.3,4.7,-1,0.4,2.7,0.12,-1.2,0.8,-0.2,1.5,-8.1,0.1,-0.2,2.7,0.14,-6.9,2.6,-0.4,7.4,-2.3,-0.2,-0.2
2.75,0.15,-12.2,0.4,2,12.3,2.7,0.7,-0.1,2.75,0.13,-4,0.6,0.5,4.1,-5.5,0.3,-0.1,2.75,0.12,-3.4,-0.1,0.8,3.5,-6.2,-0.2,-0.3
2.8,0.13,-6,2.7,0.1,6.6,-3,-0.8,-0.1,2.8,0.14,-7.7,2.1,-0.1,8,-1.6,0.1,-0.2,2.8,0.12,-3.2,0.3,0.1,3.3,-6.4,0.2,0.1
2.85,0.12,-2.2,0.1,0.7,2.3,-7.3,0.2,-0.1,2.85,0.15,-10.4,1.6,0.3,10.6,1,0,-0.1,2.85,0.14,-5.2,1.9,0.2,5.5,-4.2,0.1,0.1
2.9,0.12,-2.8,0.2,0.7,2.9,-6.7,0.1,0,2.9,0.15,-12.3,2,0.3,12.5,2.9,0.1,-0.2,2.9,0.13,-6.1,1.2,0.4,6.3,-3.4,0,0.1
2.95,0.13,-5.1,2.8,0.2,5.8,-3.8,0.1,0.1,2.95,0.15,-13.1,1.4,-0.9,13.2,3.6,0.2,-0.2,2.95,0.15,-9.5,1.6,0.5,9.7,0,0.3,0.1
3,0.15,-8.5,1.2,1.3,8.7,-0.9,0.5,0.1,3,0.13,-7.9,1.1,0,8,-1.6,-0.1,0,3,0.16,-12.9,1.9,0.7,13.1,3.4,-0.1,-0.1
3.05,0.16,-14.7,0.9,-1.7,14.9,5.3,0.5,0.1,3.05,0.14,-9.1,0.6,0.6,9.1,-0.5,0,-0.2,3.05,0.15,-11.9,0,1.1,11.9,2.2,-0.1,-0.1
3.1,0.15,-10,2.2,0.1,10.2,0.6,-0.9,0,3.1,0.14,-9.5,1,0.2,9.6,0,0.1,-0.1,3.1,0.15,-9.7,2,0.5,10,0.3,-0.1,0.1
3.15,0.14,-7.9,-0.1,1.2,8,-1.6,0.1,-0.1,3.15,0.14,-11,0.8,0,11,1.4,0,0,3.15,0.14,-9.4,1,0.2,9.5,-0.2,0.2,-0.2
3.2,0.14,-9.5,0.9,-0.4,9.5,-0.1,0.2,0,3.2,0.14,-10.4,1.8,-0.1,10.6,1,-0.1,0,3.2,0.13,-8.4,-0.2,0,8.4,-1.3,-3.70E-04,-0.2
3.25,0.14,-9.8,1,0.2,9.8,0.2,-0.1,0,3.25,0.14,-9.3,0.8,0.3,9.3,-0.3,0,0,3.25,0.14,-9.1,-0.2,-0.9,9.1,-0.6,0.3,-0.2
3.3,0.15,-10.8,1.2,0,10.9,1.3,0.2,-0.1,3.3,0.14,-9.6,0.3,0.2,9.6,0,0,0,,,,,,,,,
3.35,0.14,-9.3,0.4,0,9.3,-0.3,-0.2,-0.2,3.35,0.14,-9.9,1.1,0.3,10,0.4,0,0,,,,,,,,,
3.4,0.15,-9.3,1.3,0.5,9.4,-0.2,0.1,-0.1,3.4,0.14,-10,1.2,0,10.1,0.5,-0.1,0,,,,,,,,,
3.45,0.15,-10.1,1.6,0,10.2,0.6,0,-0.1,3.45,0.14,-9.6,0.8,0.3,9.6,0,-0.1,0,,,,,,,,,
3.5,0.14,-9.8,1.2,0.3,9.9,0.3,0,-0.1,,,,,,,,,,,,,,,,,,
3.55,0.14,-9.5,1.1,0.3,9.5,-0.1,0,-0.1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Run 1,,,,Run 2,,,Run 3,,,,,,,,,,,,,,,,,,,
Acceleration 1 Resultant,,,,Acceleration 2 resultant ,,,Accelertation 3 Resultant,,,,,,,,,,,,,,,,,,,
0,,,,0,,,0,,,,,,,,,,,,,,,,,,,
0.2,,,,0.3,,,0.2,,,,,,,,,,,,,,,,,,,
0.2,,,,0.5,,,0.1,,,,,,,,,,,,,,,,,,,
0.2,,,,0,,,0.2,,,,,,,,,,,,,,,,,,,
0.2,,,,-0.2,,,0,,,,,,,,,,,,,,,,,,,
